[     992ms] [INFO] LegacyDataMixin will be applied to all legacy elements.
Set `_legacyUndefinedCheck: true` on element class to enable. @ https://www.youtube.com/s/_/ytmainappweb/_/js/k=ytmainappweb.kevlar_base.en_US.flIV6z96enE.es5.O/am=AAAACAAAIAE/d=1/br=1/rs=AGKMywEgUovs0aJ2oTFNh4zmGV0j7NdpXQ/m=kevlar_base_module,kevlar_main_module:9898
[    1088ms] [ERROR] Failed to load resource: the server responded with a status of 403 () @ https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.youtube.com%2Fsignin%3Faction_handle_signin%3Dtrue%26app%3Ddesktop%26hl%3Den-GB%26next%3D%252Fsignin_passive%26feature%3Dpassive&dsh=S841735276%3A1776080546238187&hl=en-GB&passive=true&service=youtube&uilel=3&flowName=GlifWebSignIn&flowEntry=ServiceLogin&ifkv=AT1y2_VPHzeCS2SnIjWNiULCKNtJwTqNnrWEz3MHTdNN3Ff6DIPx1LwwpdqjPTtBd1ZHuZOphQ3Geg:0
[    8501ms] [WARNING] The resource https://rr2---sn-ca51xoxu-5hql.googlevideo.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=IH0oakdExE4&t=14s:0
[    8501ms] [WARNING] The resource https://rr2---sn-cvh76nle.c.youtube.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=IH0oakdExE4&t=14s:0
[    8501ms] [WARNING] The resource https://i.ytimg.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=IH0oakdExE4&t=14s:0
[   10081ms] [ERROR] requestStorageAccessFor: Permission denied. @ https://www.youtube.com/watch?v=IH0oakdExE4&t=14s:0
[   10081ms] [ERROR] requestStorageAccessFor: Must be handling a user gesture to use. @ https://www.youtube.com/watch?v=IH0oakdExE4&t=14s:0
[   10081ms] [ERROR] requestStorageAccessFor: Must be handling a user gesture to use. @ https://www.youtube.com/watch?v=IH0oakdExE4&t=14s:0
[   10081ms] [ERROR] requestStorageAccessFor: Must be handling a user gesture to use. @ https://www.youtube.com/watch?v=IH0oakdExE4&t=14s:0
[   10084ms] [ERROR] requestStorageAccessFor: Permission denied. @ https://www.youtube.com/watch?v=IH0oakdExE4&t=14s:0
[   10084ms] [ERROR] requestStorageAccessFor: Permission denied. @ https://www.youtube.com/watch?v=IH0oakdExE4&t=14s:0
